team1,team2,season,toss_winner,winner
4,3.0,2008,3.0,4.0
1,2.0,2008,1.0,1.0
2,6.0,2008,2.0,6.0
8,5.0,2008,8.0,5.0
1,0.0,2008,0.0,1.0
8,6.0,2008,6.0,6.0
2,0.0,2008,0.0,2.0
3,6.0,2008,6.0,6.0
4,1.0,2008,4.0,1.0
0,8.0,2008,8.0,8.0
5,2.0,2008,5.0,2.0
1,3.0,2008,1.0,1.0
4,0.0,2008,4.0,0.0
5,3.0,2008,3.0,5.0
8,2.0,2008,2.0,2.0
6,4.0,2008,6.0,6.0
1,5.0,2008,1.0,5.0
8,3.0,2008,8.0,3.0
2,4.0,2008,2.0,2.0
0,5.0,2008,5.0,0.0
1,6.0,2008,1.0,6.0
3,2.0,2008,2.0,2.0
1,8.0,2008,8.0,8.0
6,0.0,2008,0.0,0.0
5,1.0,2008,1.0,1.0
4,3.0,2008,4.0,4.0
8,6.0,2008,6.0,6.0
3,0.0,2008,0.0,0.0
1,2.0,2008,2.0,1.0
4,8.0,2008,4.0,4.0
5,6.0,2008,6.0,6.0
3,2.0,2008,3.0,2.0
4,5.0,2008,4.0,4.0
1,0.0,2008,0.0,0.0
2,6.0,2008,6.0,2.0
5,8.0,2008,8.0,5.0
4,0.0,2008,0.0,0.0
5,2.0,2008,5.0,2.0
6,3.0,2008,3.0,6.0
0,8.0,2008,8.0,0.0
4,1.0,2008,4.0,1.0
3,5.0,2008,5.0,5.0
4,6.0,2008,6.0,6.0
2,0.0,2008,0.0,2.0
3,1.0,2008,3.0,3.0
8,2.0,2008,2.0,2.0
0,5.0,2008,5.0,5.0
6,1.0,2008,6.0,6.0
3,8.0,2008,8.0,3.0
2,4.0,2008,2.0,4.0
0,6.0,2008,6.0,6.0
8,1.0,2008,8.0,1.0
6,5.0,2008,5.0,6.0
2,1.0,2008,2.0,1.0
1,6.0,2008,6.0,6.0
8,4.0,2008,8.0,4.0
6,5.0,2008,6.0,5.0
0,3.0,2008,0.0,3.0
3,6.0,2009,3.0,3.0
1,3.0,2009,1.0,1.0
2,4.0,2009,4.0,4.0
2,5.0,2009,5.0,5.0
4,8.0,2009,4.0,8.0
0,1.0,2009,1.0,0.0
6,4.0,2009,4.0,6.0
5,1.0,2009,5.0,5.0
8,3.0,2009,8.0,8.0
3,2.0,2009,3.0,2.0
1,8.0,2009,8.0,8.0
8,0.0,2009,8.0,8.0
3,5.0,2009,3.0,5.0
2,6.0,2009,2.0,2.0
2,0.0,2009,2.0,2.0
8,5.0,2009,5.0,5.0
1,6.0,2009,6.0,1.0
0,4.0,2009,0.0,0.0
3,2.0,2009,3.0,3.0
0,4.0,2009,0.0,0.0
5,6.0,2009,5.0,6.0
4,3.0,2009,4.0,3.0
0,3.0,2009,0.0,3.0
1,8.0,2009,1.0,1.0
6,2.0,2009,2.0,6.0
4,5.0,2009,4.0,5.0
8,0.0,2009,8.0,8.0
3,6.0,2009,6.0,6.0
1,2.0,2009,1.0,1.0
0,5.0,2009,0.0,5.0
8,2.0,2009,2.0,2.0
6,1.0,2009,6.0,1.0
0,3.0,2009,0.0,0.0
4,5.0,2009,5.0,5.0
8,6.0,2009,8.0,8.0
8,6.0,2009,8.0,6.0
1,5.0,2009,5.0,1.0
4,2.0,2009,4.0,2.0
5,8.0,2009,8.0,5.0
2,0.0,2009,2.0,0.0
4,3.0,2009,3.0,3.0
1,3.0,2009,1.0,3.0
4,8.0,2009,8.0,8.0
6,0.0,2009,6.0,6.0
5,2.0,2009,2.0,2.0
0,1.0,2009,0.0,1.0
5,3.0,2009,5.0,3.0
6,4.0,2009,4.0,4.0
1,2.0,2009,1.0,1.0
0,5.0,2009,5.0,5.0
3,8.0,2009,3.0,3.0
2,8.0,2009,8.0,2.0
5,6.0,2009,5.0,5.0
1,4.0,2009,1.0,4.0
8,3.0,2009,3.0,8.0
1,3.0,2009,3.0,3.0
5,8.0,2009,8.0,8.0
5,2.0,2010,5.0,2.0
0,6.0,2010,6.0,0.0
4,3.0,2010,3.0,3.0
5,4.0,2010,5.0,5.0
0,8.0,2010,8.0,0.0
6,1.0,2010,6.0,6.0
5,3.0,2010,3.0,5.0
4,2.0,2010,4.0,4.0
8,6.0,2010,8.0,6.0
1,0.0,2010,0.0,0.0
6,2.0,2010,2.0,6.0
4,2.0,2010,4.0,2.0
0,8.0,2010,0.0,0.0
1,6.0,2010,1.0,1.0
2,3.0,2010,2.0,3.0
4,8.0,2010,4.0,4.0
5,6.0,2010,5.0,5.0
3,1.0,2010,3.0,1.0
2,0.0,2010,0.0,0.0
1,8.0,2010,1.0,8.0
0,2.0,2010,0.0,2.0
3,8.0,2010,8.0,8.0
4,5.0,2010,4.0,4.0
2,6.0,2010,2.0,6.0
1,0.0,2010,1.0,1.0
0,3.0,2010,3.0,0.0
2,8.0,2010,8.0,8.0
1,8.0,2010,1.0,1.0
0,3.0,2010,0.0,0.0
6,4.0,2010,6.0,4.0
8,5.0,2010,8.0,8.0
2,1.0,2010,1.0,1.0
8,3.0,2010,8.0,3.0
1,0.0,2010,1.0,1.0
0,4.0,2010,0.0,4.0
1,5.0,2010,1.0,5.0
6,3.0,2010,6.0,3.0
4,1.0,2010,4.0,1.0
0,5.0,2010,0.0,0.0
8,3.0,2010,3.0,8.0
5,3.0,2010,5.0,5.0
6,8.0,2010,6.0,6.0
1,4.0,2010,1.0,1.0
0,5.0,2010,5.0,0.0
6,3.0,2010,3.0,3.0
5,1.0,2010,5.0,1.0
0,6.0,2010,0.0,0.0
4,8.0,2010,8.0,4.0
0,3.0,2010,0.0,3.0
8,5.0,2010,8.0,8.0
2,1.0,2010,1.0,2.0
4,0.0,2010,4.0,0.0
3,1.0,2010,1.0,3.0
2,5.0,2010,5.0,5.0
3,4.0,2010,4.0,4.0
